Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01392;SAMOGNAT;Province;Auvergne-Rhône-Alpes
01393;SANDRANS;Province;Auvergne-Rhône-Alpes
01394;SATHONAY CAMP;Province;Auvergne-Rhône-Alpes
01395;SATHONAY VILLAGE;Province;Auvergne-Rhône-Alpes
01396;SAULT BRENAZ;Province;Auvergne-Rhône-Alpes
01397;SAUVERNY;Province;Auvergne-Rhône-Alpes
01398;SAVIGNEUX;Province;Auvergne-Rhône-Alpes
01399;SEGNY;Province;Auvergne-Rhône-Alpes
01400;SEILLONNAZ;Province;Auvergne-Rhône-Alpes
01401;SERGY;Province;Auvergne-Rhône-Alpes
01402;SERMOYER;Province;Auvergne-Rhône-Alpes
01403;SERRIERES DE BRIORD;Province;Auvergne-Rhône-Alpes
01404;SERRIERES SUR AIN;Province;Auvergne-Rhône-Alpes
01405;SERVAS;Province;Auvergne-Rhône-Alpes
01406;SERVIGNAT;Province;Auvergne-Rhône-Alpes
01407;SEYSSEL;Province;Auvergne-Rhône-Alpes
01408;SIMANDRE SUR SURAN;Province;Auvergne-Rhône-Alpes
01409;SONGIEU;Province;Auvergne-Rhône-Alpes
01410;SONTHONNAX LA MONTAGNE;Province;Auvergne-Rhône-Alpes
01411;SOUCLIN;Province;Auvergne-Rhône-Alpes
01412;SULIGNAT;Province;Auvergne-Rhône-Alpes
01413;SURJOUX;Province;Auvergne-Rhône-Alpes
01414;SUTRIEU;Province;Auvergne-Rhône-Alpes
01415;TALISSIEU;Province;Auvergne-Rhône-Alpes
01416;TENAY;Province;Auvergne-Rhône-Alpes
01417;THEZILLIEU;Province;Auvergne-Rhône-Alpes
01418;THIL;Province;Auvergne-Rhône-Alpes
01419;THOIRY;Province;Auvergne-Rhône-Alpes
01420;THOISSEY;Province;Auvergne-Rhône-Alpes
01421;TORCIEU;Province;Auvergne-Rhône-Alpes
01422;TOSSIAT;Province;Auvergne-Rhône-Alpes
01423;TOUSSIEUX;Province;Auvergne-Rhône-Alpes
01424;TRAMOYES;Province;Auvergne-Rhône-Alpes
01425;LA TRANCLIERE;Province;Auvergne-Rhône-Alpes
01426;TREFFORT CUISIAT;Province;Auvergne-Rhône-Alpes
01427;TREVOUX;Province;Auvergne-Rhône-Alpes
01428;VALEINS;Province;Auvergne-Rhône-Alpes
01429;VANDEINS;Province;Auvergne-Rhône-Alpes
01430;VARAMBON;Province;Auvergne-Rhône-Alpes
01431;VAUX EN BUGEY;Province;Auvergne-Rhône-Alpes
01432;VERJON;Province;Auvergne-Rhône-Alpes
01433;VERNOUX;Province;Auvergne-Rhône-Alpes
01434;VERSAILLEUX;Province;Auvergne-Rhône-Alpes
01435;VERSONNEX;Province;Auvergne-Rhône-Alpes
01436;VESANCY;Province;Auvergne-Rhône-Alpes
01437;VESCOURS;Province;Auvergne-Rhône-Alpes
01438;VESENEX CRASSY;Province;Auvergne-Rhône-Alpes
01439;VESINES;Province;Auvergne-Rhône-Alpes
01440;VEYZIAT;Province;Auvergne-Rhône-Alpes
01441;VIEU D IZENAVE;Province;Auvergne-Rhône-Alpes
